iter	Passed	Remaining
215	16618	60318
216	16673	60164
217	16714	59958
218	16758	59765
219	16832	59679
220	16896	59559
221	16968	59466
222	17031	59342
223	17095	59222
224	17135	59021
225	17179	58835
226	17221	58642
227	17263	58452
228	17311	58283
229	17418	58314
230	17516	58311
231	17591	58235
232	17668	58160
233	17749	58102
234	17846	58096
235	17935	58063
236	18034	58060
237	18131	58051
238	18210	57984
239	18290	57921
240	18394	57931
241	18503	57956
242	18594	57927
243	18655	57801
244	18701	57631
245	18771	57534
246	18821	57377
247	18871	57222
248	18922	57070
249	18970	56911
250	19036	56806
251	19089	56663
252	19156	56561
253	19201	56394
254	19261	56272
255	19321	56152
256	19366	55990
257	19411	55827
258	19451	55650
259	19521	55561
260	19567	55403
261	19615	55252
262	19664	55105
263	19713	54959
264	19774	54847
265	19829	54716
266	19881	54580
267	19927	54427
268	19973	54278
269	20032	54160
270	20080	54017
271	20133	53887
272	20212	53825
273	20296	53778
274	20345	53637
275	20393	53495
276	20450	53378
277	20520	53292
278	20568	53152
279	20617	53017
280	20677	52908
281	20735	52793
282	20782	52652
283	20831	52518
284	20879	52382
285	20945	52290
286	20991	52149
287	21040	52017
288	21090	51887
289	21151	51785
290	21202	51657
291	21279	51595
292	21359	51540
293	21417	51430
294	21462	51290
295	21508	51154
296	21555	51022
297	21643	50984
298	21713	50908
299	21787	50837
300	21882	50816
301	21964	50765
302	22037	50693
303	22116	50635
304	22193	50571
305	22241	50443
306	22294	50325
307	22344	50203
308	22416	50128
309	22467	50008
310	22516	49883
311	22569	49768
312	22633	49677
313	22680	49551
314	22729	49428
315	22780	49310
316	22834	49199
317	22885	49081
318	22932	48955
319	22978	48830
320	23040	48736
321	23095	48629
322	23142	48506
323	23192	48389
324	23237	48263
325	23305	48184
326	23363	48084
327	23453	48051
328	23507	47943
329	23583	47881
330	23651	47802
331	23724	47733
332	23840	47751
333	23964	47785
334	24072	47786
335	24162	47749
336	24276	47761
337	24380	47750
338	24471	47715
339	24565	47686
340	24672	47680
341	24790	47695
342	24875	47648
343	24998	47671
344	25095	47645
345	25198	47629
346	25288	47589
347	25392	47574
348	25511	47587
349	25571	47489
350	25611	47356
351	25651	47222
352	25695	47096
353	25757	47004
354	25825	46922
355	25908	46868
356	26012	46850
357	26119	46839
358	26210	46799
359	26298	46753
360	26352	46646
361	26391	46512
362	26433	46386
363	26474	46258
364	26527	46150
365	26579	46042
366	26620	45915
367	26661	45787
368	26703	45663
369	26762	45568
370	26809	45454
371	26853	45333
372	26896	45211
373	26940	45092
374	27014	45023
375	27082	44945
376	27135	44842
377	27174	44715
378	27223	44605
379	27278	44506
380	27323	44391
381	27388	44308
382	27485	44277
383	27561	44212
384	27632	44139
385	27680	44031
386	27743	43945
387	27842	43916
388	27891	43808
389	27934	43693
390	27997	43607
391	28048	43503
392	28095	43394
393	28144	43288
394	28191	43179
395	28253	43093
396	28307	42996
397	28355	42889
398	28397	42773
399	28445	42667
400	28509	42587
401	28556	42480
402	28604	42373
403	28653	42271
404	28692	42153
405	28746	42057
406	28805	41969
407	28853	41865
408	28899	41759
409	28941	41647
410	29005	41567
411	29056	41469
412	29122	41392
413	29221	41361
414	29285	41282
415	29333	41179
416	29378	41073
417	29425	40970
418	29491	40894
419	29547	40803
420	29596	40704
421	29655	40618
422	29713	40531
423	29762	40431
424	29809	40331
425	29854	40227
426	29920	40151
427	29967	40049
428	30012	39947
429	30057	39843
430	30128	39774
431	30184	39687
432	30233	39589
433	30285	39497
434	30351	39421
435	30393	39315
436	30437	39213
437	30492	39125
438	30554	39046
439	30602	38948
440	30648	38848
441	30701	38758
442	30764	38680
443	30812	38584
444	30862	38490
445	30915	38401
446	30977	38323
447	31021	38223
448	31067	38125
449	31111	38025
450	31181	37957
451	31227	37860
452	31266	37754
453	31305	37649
454	31346	37546
455	31394	37453
456	31456	37376
457	31501	37279
458	31547	37183
459	31589	37083
460	31655	37011
461	31769	36995
462	31857	36949
463	31921	36875
464	31975	36789
465	32028	36702
466	32082	36616
467	32169	36568
468	32219	36478
469	32266	36385
470	32320	36300
471	32380	36222
472	32427	36129
473	32474	36037
474	32525	35949
475	32595	35882
476	32644	35792
477	32690	35699
478	32747	35619
479	32812	35547
480	32860	35456
481	32904	35361
482	32951	35270
483	33014	35196
484	33069	35114
485	33117	35025
486	33171	34942
487	33235	34869
488	33281	34779
489	33330	34691
490	33383	34607
491	33441	34528
492	33487	34438
493	33536	34351
494	33581	34260
495	33645	34187
496	33692	34099
497	33738	34009
498	33788	33924
499	33829	33829
500	33882	33746
501	33922	33652
502	33963	33558
503	34006	33466
504	34053	33378
505	34099	33290
506	34149	33206
507	34193	33116
508	34236	33025
509	34273	32929
510	34328	32850
511	34372	32761
512	34417	32672
513	34454	32577
514	34495	32486
515	34548	32405
516	34601	32326
517	34645	32237
518	34686	32146
519	34726	32055
520	34779	31976
521	34823	31888
522	34863	31796
523	34904	31707
524	34946	31618
525	34996	31536
526	35047	31456
527	35090	31369
528	35132	31280
529	35175	31193
530	35234	31120
531	35277	31034
532	35317	30943
533	35357	30854
534	35399	30768
535	35451	30689
536	35501	30609
537	35542	30521
538	35585	30436
539	35626	30348
540	35693	30283
541	35811	30261
542	35885	30201
543	35964	30146
544	36011	30064
545	36059	29983
546	36110	29905
547	36157	29823
548	36219	29754
549	36297	29698
550	36342	29614
551	36389	29533
552	36456	29468
553	36563	29435
554	36609	29353
555	36657	29273
556	36718	29203
557	36769	29125
558	36813	29042
559	36868	28968
560	36929	28898
561	36979	28820
562	37028	28741
563	37076	28661
564	37131	28587
565	37181	28510
566	37228	28430
567	37282	28355
568	37348	28290
569	37395	28210
570	37442	28130
571	37493	28054
572	37557	27988
573	37604	27908
574	37646	27825
575	37701	27752
576	37762	27683
577	37808	27604
578	37853	27523
579	37893	27440
580	37958	27374
581	38005	27295
582	38046	27213
583	38089	27132
584	38131	27050
585	38185	26977
586	38240	26905
587	38278	26820
588	38318	26738
589	38359	26656
590	38412	26583
591	38468	26511
592	38510	26431
593	38556	26353
594	38594	26270
595	38645	26195
596	38695	26121
597	38740	26042
598	38780	25961
599	38824	25882
600	38882	25813
601	38932	25739
602	38970	25657
603	39011	25576
604	39056	25499
605	39107	25426
606	39158	25353
607	39200	25274
608	39240	25193
609	39286	25117
610	39340	25046
611	39391	24974
612	39432	24894
613	39473	24815
614	39515	24737
615	39563	24663
616	39618	24593
617	39658	24513
618	39700	24436
619	39741	24357
620	39790	24284
621	39845	24214
622	39887	24137
623	39930	24060
624	39969	23981
625	40024	23912
626	40077	23842
627	40120	23765
628	40161	23688
629	40202	23610
630	40258	23542
631	40312	23472
632	40357	23398
633	40463	23359
634	40525	23294
635	40638	23258
636	40701	23193
637	40762	23128
638	40810	23055
639	40859	22983
640	40909	22912
641	40991	22858
642	41040	22786
643	41087	22712
644	41147	22647
645	41204	22579
646	41248	22504
647	41297	22432
648	41344	22360
649	41407	22296
650	41478	22236
651	41523	22163
652	41565	22087
653	41619	22018
654	41679	21953
655	41726	21880
656	41774	21809
657	41830	21741
658	41894	21678
659	41945	21608
660	41993	21536
661	42045	21467
662	42106	21402
663	42147	21327
664	42196	21256
665	42240	21183
666	42302	21119
667	42348	21047
668	42392	20974
669	42442	20904
670	42517	20847
671	42573	20780
672	42613	20705
673	42653	20630
674	42690	20554
675	42733	20481
676	42790	20415
677	42831	20341
678	42870	20267
679	42912	20193
680	42969	20128
681	43011	20055
682	43052	19982
683	43094	19909
684	43138	19837
685	43191	19769
686	43241	19700
687	43283	19628
688	43321	19554
689	43360	19480
690	43412	19412
691	43464	19345
692	43508	19274
693	43548	19201
694	43588	19128
695	43638	19060
696	43687	18991
697	43725	18918
698	43763	18845
699	43805	18773
700	43850	18703
701	43901	18636
702	43941	18564
703	43976	18490
704	44022	18420
705	44078	18355
706	44125	18286
707	44167	18215
708	44206	18144
709	44247	18073
710	44294	18004
711	44349	17939
712	44392	17868
713	44435	17799
714	44476	17728
715	44535	17664
716	44578	17595
717	44616	17523
718	44657	17453
719	44697	17382
720	44740	17313
721	44796	17248
722	44837	17178
723	44879	17108
724	44919	17038
725	44974	16973
726	45021	16906
727	45061	16836
728	45102	16766
729	45141	16696
730	45187	16628
731	45241	16563
732	45284	16495
733	45324	16425
734	45369	16357
735	45429	16295
736	45475	16227
737	45517	16159
738	45560	16091
739	45599	16021
740	45648	15955
741	45700	15890
742	45742	15821
743	45783	15753
744	45822	15684
745	45874	15619
746	45926	15554
747	45969	15486
748	46009	15418
749	46051	15350
750	46103	15285
751	46150	15219
752	46192	15152
753	46234	15084
754	46274	15016
755	46321	14950
756	46378	14887
757	46421	14820
758	46462	14752
759	46504	14685
760	46573	14626
761	46616	14559
762	46655	14491
763	46693	14423
764	46738	14357
765	46788	14293
766	46882	14242
767	46973	14189
768	47050	14133
769	47139	14080
770	47218	14024
771	47308	13971
772	47409	13922
773	47502	13870
774	47578	13813
775	47641	13752
776	47690	13687
777	47736	13621
778	47786	13556
779	47858	13498
780	47954	13446
781	48008	13383
782	48089	13327
783	48136	13262
784	48186	13197
785	48240	13134
786	48301	13072
787	48351	13008
788	48401	12943
789	48452	12879
790	48518	12819
791	48566	12754
792	48611	12689
793	48668	12626
794	48732	12566
795	48778	12501
796	48818	12434
797	48866	12369
798	48937	12310
799	48979	12244
800	49019	12178
801	49061	12112
802	49102	12046
803	49152	11982
804	49211	11920
805	49252	11854
806	49292	11788
807	49336	11723
808	49395	11661
809	49451	11599
810	49489	11533
811	49532	11468
812	49569	11401
813	49624	11339
814	49672	11275
815	49714	11210
816	49751	11143
817	49792	11078
818	49834	11013
819	49885	10950
820	49931	10886
821	49971	10821
822	50014	10756
823	50071	10694
824	50117	10631
825	50160	10566
826	50198	10500
827	50237	10435
828	50282	10371
829	50335	10309
830	50375	10244
831	50420	10181
832	50461	10116
833	50517	10055
834	50559	9990
835	50603	9926
836	50645	9862
837	50685	9798
838	50732	9735
839	50784	9673
840	50828	9609
841	50871	9546
842	50915	9482
843	50971	9421
844	51015	9357
845	51057	9294
846	51098	9230
847	51136	9165
848	51182	9103
849	51232	9041
850	51272	8977
851	51312	8913
852	51353	8849
853	51409	8789
854	51459	8726
855	51500	8663
856	51538	8599
857	51578	8536
858	51626	8474
859	51680	8413
860	51721	8349
861	51759	8286
862	51802	8223
863	51855	8162
864	51948	8107
865	52037	8051
866	52120	7995
867	52199	7938
868	52265	7878
869	52310	7816
870	52387	7758
871	52443	7698
872	52490	7636
873	52536	7573
874	52581	7511
875	52652	7453
876	52697	7390
877	52745	7329
878	52789	7266
879	52838	7205
880	52905	7146
881	52956	7084
882	53001	7022
883	53046	6960
884	53091	6898
885	53158	6839
886	53204	6777
887	53251	6716
888	53298	6654
889	53350	6593
890	53413	6534
891	53463	6473
892	53509	6411
893	53556	6350
894	53605	6288
895	53662	6228
896	53718	6168
897	53766	6107
898	53814	6045
899	53859	5984
900	53924	5925
901	53969	5863
902	54017	5802
903	54059	5740
904	54100	5679
905	54147	5617
906	54207	5558
907	54248	5496
908	54288	5434
909	54328	5373
910	54382	5312
911	54434	5252
912	54478	5191
913	54519	5129
914	54556	5068
915	54603	5007
916	54654	4946
917	54696	4885
918	54737	4824
919	54778	4763
920	54828	4702
921	54883	4643
922	54924	4582
923	54966	4521
924	55006	4460
925	55067	4400
926	55125	4341
927	55214	4283
928	55298	4226
929	55361	4167
930	55410	4106
931	55458	4046
932	55511	3986
933	55576	3927
934	55627	3867
935	55676	3806
936	55728	3746
937	55792	3687
938	55839	3627
939	55890	3567
940	55941	3507
941	55999	3447
942	56045	3387
943	56095	3327
944	56149	3267
945	56215	3208
946	56266	3149
947	56316	3089
948	56367	3029
949	56430	2970
950	56479	2910
951	56525	2850
952	56581	2790
953	56645	2731
954	56696	2671
955	56746	2611
956	56803	2552
957	56867	2493
958	56914	2433
959	56958	2373
960	57013	2313
961	57078	2254
962	57121	2194
963	57168	2134
964	57213	2075
965	57273	2015
966	57326	1956
967	57368	1896
968	57410	1836
969	57450	1776
970	57499	1717
971	57552	1657
972	57590	1598
973	57629	1538
974	57669	1478
975	57719	1419
976	57772	1360
977	57814	1300
978	57857	1241
979	57897	1181
980	57952	1122
981	57999	1063
982	58039	1003
983	58080	944
984	58118	885
985	58165	825
986	58220	766
987	58261	707
988	58305	648
989	58347	589
990	58403	530
991	58443	471
992	58483	412
993	58522	353
994	58562	294
995	58608	235
996	58660	176
997	58704	117
998	58749	58
999	58791	0
